,Title,Year,Genre,Director,Cast,Movie_id
200,Acharya,(2011),"Biography, Drama, Music","Prashant Rasaily
                 |","['Satya Raj Acharya', 'Aruna Karki', 'Bipin Karki', 'Sunil Pokhrel']",/title/tt2055577/
201,Masaan,(2011),Drama,"Neer Bikram Shah
                 |","['Keki Adhikari', 'Raj Ballav Koirala', 'Neeta Dhungana', 'Dinesh D.C.']",/title/tt2166508/
202,K Yo Maya Ho,(2011),"Drama, Romance","Sudarshan Thapa
                 |","['Keshab Bhattarai', 'Arjun Dahal', 'Sabita Gurung', 'Kiran K.C.']",/title/tt8734910/
203,Kathmandu,(2011),Family,"Akash Adhikari
                 |","['Akash Adhikari', 'Ben-Nabin Adhikari', 'Prapti Ghimire', 'Resh Marhatta']",/title/tt2147361/
204,Mero Love Story,(2011),Romance,"Sudarshan Thapa
                 |","['Aaryan Sigdel', 'Reecha Sharma', 'Binaya Shrestha', 'Keshab Bhattarai']",/title/tt2532814/
205,Birami Sahar (Sick City),(2011),Drama,"Murray Kerr
                 |","['Arpan Thapa', 'Sara Lama', 'Manu Thapa']",/title/tt1884254/
206,Challenge,(2011),Action,"Shyam Bhattarai
                 |","['Ben Ayers', 'Rose Chadwick', 'Resh Marhatta', 'B.S. Rana']",/title/tt1825708/
207,Ek Din Ek Raat,(2011),Horror,"Dev Kumar Shrestha
                 |","['Anup Baral', 'Deeya Maskey', 'Menuka Pradhan', 'Karma Shakya']",/title/tt5192776/
208,Swor-the Melody of Dreams,(2011),Musical,"Prasanna Poudyal
                 |","['Raj Ballav Koirala', 'Keki Adhikari', 'Reema Bishwokarma', 'Sraj Garach']",/title/tt1867612/
209,Facebook,(2012),Drama,"Suraj Subba
                 |","['Rajesh Hamal', 'Wilson Bikram Rai', 'Jharana Thapa', 'Subash Thapa']",/title/tt8761830/
210,K Ma Timro Sathi Banna Sakchhu,(2012),Romance,"Shabir Shrestha
                 |","['Kishor Bhandari', 'Dinesh D.C.', 'Dipti Giri', 'Gobind Rai']",/title/tt8446798/
211,Loot,(I) (2012),"Crime, Drama, Thriller","s:
Nischal Basnet, 
Haridev Oli
                 |","['Saugat Malla', 'Karma Shakya', 'Dayahang Rai', 'Prateek Raj Neupane']",/title/tt2179133/
212,सुनगावा,(2012),"Drama, Romance","Subarna Thapa
                 |","['Deeya Maskey', 'Nisha Adhikari', 'Saugat Malla', 'Basundhara Bhusal']",/title/tt2408026/
213,Highway,(I) (2012),Drama,"Deepak Rauniyar
                 |","['Dayahang Rai', 'Asha Magrati', 'Shristi Ghimire', 'Karma Shakya']",/title/tt2210657/
214,Visa Girl,(2012),Drama,"Prachanda Man Shrestha
                 |","['Reema Bishwokarma', 'Reecha Sharma', 'Vinay Shrestha', 'Raymon Das Shrestha']",/title/tt2438106/
215,Shiris ko Phool,(2012),Drama,"Toshiaki Itoh
                 |","['Ganesh Man Lama', 'Jagat Rajthala', 'Saujanya Subba']",/title/tt8180488/
216,Saayad,(2012),Drama,"Suraj Subba
                 |","['Ramesh Adhikari', 'Kabita Ale', 'Anita Dahal', 'Ritika Lama']",/title/tt6500014/
217,Dhanda,(2012),Drama,"Sudarshan Thapa
                 |","['Arpan Thapa', 'Samuna K.C', 'Dhurba Koirala', 'Kamala Regmi']",/title/tt8487960/
218,3 Lovers,(2012),Drama,"Suresh Darpan Pokharel
                 |","['Niraj Baral', 'Priyanka Karki', 'Pooja Sharma', 'Devu Shrestha']",/title/tt18339180/
219,Banphool,(2012),Drama,"Nabaraj Budhathoki
                 |","['Madan Baral', 'Manju Devkota', 'Sunil Pokharel', 'Mahesh Shrestha']",/title/tt14273050/
